Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\RESTURANT ROBOT\Project Outputs for RESTURANT ROBOT\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       11/05/25
Time:       20:55
Revision:   60e429e4f64ebc145648bda6607c18505b84d800
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP1","5000","TopLayer","KEYSTONE_5000","320.000","3160.000","0","Test Point Miniature THM H .300 Nylon 46 Insulated Red PhosBronze/Silver | Keystone Electronics 5000"
"TP3","5000","TopLayer","KEYSTONE_5000","885.000","120.000","0","Test Point Miniature THM H .300 Nylon 46 Insulated Red PhosBronze/Silver | Keystone Electronics 5000"
"TP2","5000","TopLayer","KEYSTONE_5000","720.000","120.000","0","Test Point Miniature THM H .300 Nylon 46 Insulated Red PhosBronze/Silver | Keystone Electronics 5000"
"C22","CL21B104KOANNNC","BottomLayer","FP-CL21-IPC_A","1563.552","2385.000","180","CL21 Series 0805 100nF 16V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor"
"C17","CL21B104KOANNNC","TopLayer","FP-CL21-IPC_A","925.000","1845.000","90","CL21 Series 0805 100nF 16V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor"
"SW2","SWITCH","TopLayer","PCBComponent_1","1067.678","1174.881","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"R15","RC0805JR-0710KL","TopLayer","RESC2013X60X35ML10T20","2650.000","1275.000","180","Chip Resistor, 10 KOhm, +/- 5%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"R14","RC0805JR-0710KL","TopLayer","RESC2013X60X35ML10T20","2649.370","1440.000","180","Chip Resistor, 10 KOhm, +/- 5%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"J13","SPI","TopLayer","SAMTEC_MTLW-102-XX-X-D-XXX","2950.000","990.000","0","Connector Header Through Hole 4 position 0.100 (2.54mm)"
"J11","RX TX","TopLayer","SAMTEC_MTLW-102-XX-X-D-XXX","2575.000","1005.000","0","Connector Header Through Hole 4 position 0.100 (2.54mm)"
