Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","CL21B104KOANNNC","CL21 Series 0805 100nF 16V ±10% Tolerance X7R Multilayer Ceramic Chip Capacitor","C1, C2, C8, C9, C10, C11, C13, C14, C17, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34","","","25","Samsung","CL21B104KOANNNC","Volume Production","","","",""
"","C0805C120J5GACTU","CAP CER 12PF 50V C0G/NP0 0805","C3, C4, C5, C6","","","4","KEMET","C0805C120J5GACTU","Volume Production","Digikey","399-C0805C120J5GACTUCT-ND","0.11","0.44"
"","CL21A225KOFNNNG","CL21 Series 0805 2.2uF 16V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor","C7, C12","","","2","Samsung","CL21A225KOFNNNG","Volume Production","","","",""
"","CC1206KKX7R9BB475","CAP CER 4.7UF 50V X7R 1206","C15, C37","","","2","Yageo","CC1206KKX7R9BB475","Volume Production","Arrow Electronics","CC1206KKX7R9BB475","0.4124","0.8248"
"","12065C105KAT2A","General Purpose Ceramic Capacitor, 1206, 1uF, 10%, X7R, 15%, 50V","C16, C42","","","2","Kyocera AVX","12065C105KAT2A","Volume Production","Newark","10R6014","0.096","0.192"
"","1206ZD106KAT2A","General Purpose Ceramic Capacitor, 1206, 10uF, 10%, X5R, 15%, 10V","C24, C35, C41","","","3","Kyocera AVX","1206ZD106KAT2A","Volume Production","Farnell","1327730","0.3193","1.6"
"","100nF","Automotive Ceramic Capacitor, 0805, 100nF, 10%, X7R, 15%, 100V","C36, C40","","","2","Kyocera AVX","08051C104K4T2A","Volume Production","Digikey","478-KAM21KR72A104KUCT-ND","0.28","0.56"
"","C3216X5R1E226M160AB","Multilayer Ceramic Capacitors 22uF ±20% 25V X5R SMD 1206","C38, C39","","","2","TDK","C3216X5R1E226M160AB","Volume Production","Newark","04X3296","0.4","0.8"
"","USBLC6-2SC6Y","17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6","D1","","","1","","","","","","",""
